,base_market,quote_market,hedge_ratio,half_life
0,ICP-USD,ATOM-USD,0.48530478900133045,13.0
1,ICP-USD,XLM-USD,57.732136532385326,11.0
2,ICP-USD,EOS-USD,5.91348750406458,3.0
3,ICP-USD,SOL-USD,0.2560091855871537,4.0
4,ICP-USD,UNI-USD,0.9895684470282405,2.0
5,ETC-USD,COMP-USD,0.5172501219350332,4.0
6,ETC-USD,SUSHI-USD,20.375933270319226,3.0
7,ETC-USD,1INCH-USD,45.77564504994365,3.0
8,ETC-USD,AVAX-USD,1.2501225595081669,3.0
9,ZEC-USD,EOS-USD,37.5912870834436,3.0
10,ZEC-USD,SOL-USD,1.627439829242819,4.0
11,MKR-USD,YFI-USD,0.0941340508867202,3.0
12,MKR-USD,XMR-USD,4.150887604337749,2.0
13,MKR-USD,ETH-USD,0.3431019172161299,3.0
14,ATOM-USD,BCH-USD,0.09116413720677853,4.0
15,ATOM-USD,SUSHI-USD,11.743909818093528,4.0
16,ATOM-USD,DOGE-USD,144.19682976341247,5.0
17,BCH-USD,ENJ-USD,338.63018109752056,4.0
18,BCH-USD,XLM-USD,1304.8691724299526,3.0
19,BCH-USD,ALGO-USD,708.5732744874075,2.0
20,BCH-USD,SUSHI-USD,128.82033875420424,3.0
21,BCH-USD,DOGE-USD,1581.7144321900016,3.0
22,BCH-USD,1INCH-USD,289.4017911164539,3.0
23,CELO-USD,RUNE-USD,0.4604916804534884,3.0
24,CELO-USD,EOS-USD,0.6036481830232332,2.0
25,CELO-USD,NEAR-USD,0.3185590547374025,2.0
26,CELO-USD,UMA-USD,0.250588162337311,6.0
27,CELO-USD,SOL-USD,0.02613395245501405,2.0
28,ENJ-USD,XLM-USD,3.8532613008252103,7.0
29,ENJ-USD,ALGO-USD,2.0924534987967407,1.0
30,ENJ-USD,DOGE-USD,4.670844433446182,3.0
31,RUNE-USD,SOL-USD,0.05675045132456762,3.0
32,FIL-USD,DOT-USD,0.8323334156199971,3.0
33,FIL-USD,AAVE-USD,0.06887801018635172,3.0
34,ZRX-USD,UMA-USD,0.10755349691060032,13.0
35,YFI-USD,ADA-USD,18150.64925490944,2.0
36,YFI-USD,AAVE-USD,102.97705598503302,3.0
37,YFI-USD,MATIC-USD,7626.655224262265,3.0
38,YFI-USD,ETH-USD,3.644777420921344,2.0
39,COMP-USD,NEAR-USD,21.566786075440763,3.0
40,COMP-USD,DOT-USD,6.586149989022032,4.0
41,XLM-USD,NEAR-USD,0.05404765885352826,5.0
42,XLM-USD,ALGO-USD,0.5430076771775,4.0
43,XLM-USD,SOL-USD,0.004433997322882317,6.0
44,EOS-USD,UMA-USD,0.4151087357674284,6.0
45,EOS-USD,SOL-USD,0.043292411513445345,2.0
46,EOS-USD,UNI-USD,0.16733298802949967,6.0
47,NEAR-USD,DOT-USD,0.3053753176620467,3.0
48,NEAR-USD,1INCH-USD,4.103191814386116,4.0
49,ALGO-USD,SOL-USD,0.008165609336265804,2.0
50,ALGO-USD,DOGE-USD,2.232226073187082,3.0
51,SUSHI-USD,DOGE-USD,12.278233265031481,2.0
52,SUSHI-USD,1INCH-USD,2.246506153902051,3.0
53,ADA-USD,MATIC-USD,0.4201758283790775,2.0
54,ADA-USD,ETH-USD,0.00020080282731365338,2.0
55,UMA-USD,SOL-USD,0.10427227334276865,7.0
56,BTC-USD,AAVE-USD,417.86611960740925,4.0
57,BTC-USD,1INCH-USD,67848.71394426333,3.0
